Time (sec),Accel Position (%),Baro Pressure (kPa),Boost (kPa),Coolant Temp (C),Fuel Press Final (kPa),Fuel Press Raw (kPa),Gear Position (Gear),Intake Temp (C),Man Abs Press (kPa),RPM (RPM),Req Torque (Nm),Target Throttle (%),Throttle Pos (%),Vehicle Speed (kph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2020 USDM WRX STI COBB Custom Features][Reflash: Stage1 ACN91 v400 Boost Select.ptm - Realtime: Stage1 ACN91 v400 Boost Select.ptm]
3.762,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.44,782,0.00,0.00,4.3,0,0.00,0
3.838,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.09,778,0.00,0.00,4.3,0,0.00,0
3.903,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.30,775,0.00,0.00,4.3,0,0.00,0
3.986,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.30,770,0.00,0.00,4.3,0,0.00,0
4.062,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,773,0.00,0.00,4.3,0,0.00,0
4.138,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.44,777,0.00,0.00,4.3,0,0.00,0
4.206,0.0,99.97,-56.19,87,0.00,0.00,0,57,43.57,770,0.00,0.00,4.3,0,0.00,0
4.287,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.57,774,0.00,0.00,4.3,0,0.00,0
4.361,0.0,99.97,-56.05,87,0.00,0.00,0,57,43.71,769,0.00,0.00,4.3,0,0.00,0
4.444,0.0,99.97,-56.05,87,0.00,0.00,0,57,43.71,769,0.00,0.00,3.9,0,0.00,0
4.519,0.0,99.97,-55.99,87,0.00,0.00,0,57,43.85,767,0.00,0.00,3.9,0,0.00,0
4.588,0.0,99.97,-56.05,87,0.00,0.00,0,57,43.71,770,0.00,0.00,3.9,0,0.00,0
4.655,0.0,99.97,-55.78,87,0.00,0.00,0,57,43.85,770,0.00,0.00,4.3,0,0.00,0
4.744,0.0,99.97,-56.05,87,0.00,0.00,0,57,43.99,773,0.00,0.00,4.3,0,0.00,0
4.811,0.0,99.97,-55.85,87,0.00,0.00,0,57,43.99,766,0.00,0.00,4.3,0,0.00,0
4.880,0.0,99.97,-55.99,87,0.00,0.00,0,57,43.85,770,0.00,0.00,4.3,0,0.00,0
4.970,0.0,99.97,-55.71,87,0.00,0.00,0,57,43.99,764,0.00,0.00,3.9,0,0.00,0
5.036,0.0,99.97,-56.05,87,0.00,0.00,0,57,43.99,772,0.00,0.00,3.9,0,0.00,0
5.108,0.0,99.97,-56.05,87,0.00,0.00,0,57,43.71,771,0.00,0.00,4.3,0,0.00,0
5.190,0.0,99.97,-55.99,87,0.00,0.00,0,57,43.71,775,0.00,0.00,4.3,0,0.00,0
5.267,0.0,99.97,-56.12,87,0.00,0.00,0,57,43.85,774,0.00,0.00,3.9,0,0.00,0
5.333,0.0,99.97,-56.05,87,0.00,0.00,0,57,43.71,770,0.00,0.00,3.9,0,0.00,0
5.424,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,768,0.00,0.00,4.3,0,0.00,0
5.481,0.0,99.97,-56.19,87,0.00,0.00,0,57,43.57,770,0.00,0.00,3.9,0,0.00,0
5.571,0.0,99.97,-56.12,87,0.00,0.00,0,57,43.57,772,0.00,0.00,3.9,0,0.00,0
5.637,0.0,99.97,-56.19,87,0.00,0.00,0,57,43.44,772,0.00,0.00,3.9,0,0.00,0
5.708,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,779,0.00,0.00,3.9,0,0.00,0
5.787,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,778,0.00,0.00,3.9,0,0.00,0
5.861,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,769,0.00,0.00,4.3,0,0.00,0
5.938,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,769,0.00,0.00,4.3,0,0.00,0
6.006,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.44,773,0.00,0.00,4.3,0,0.00,0
6.094,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,772,0.00,0.00,4.3,0,0.00,0
6.159,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,766,0.00,0.00,4.3,0,0.00,0
6.250,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,772,0.00,0.00,4.3,0,0.00,0
6.308,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.44,778,0.00,0.00,4.3,0,0.00,0
6.387,0.0,99.97,-56.19,87,0.00,0.00,0,57,43.57,781,0.00,0.00,4.3,0,0.00,0
6.464,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.57,782,0.00,0.00,4.3,0,0.00,0
6.530,0.0,99.97,-56.12,87,0.00,0.00,0,57,43.57,782,0.00,0.00,3.9,0,0.00,0
6.623,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,786,0.00,0.00,4.3,0,0.00,0
6.680,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,786,0.00,0.00,3.9,0,0.00,0
6.760,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.30,786,0.00,0.00,3.9,0,0.00,0
6.840,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.30,774,0.00,0.00,3.9,0,0.00,0
6.906,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.30,782,0.00,0.00,3.9,0,0.00,0
6.978,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,779,0.00,0.00,4.3,0,0.00,0
7.062,0.0,99.97,-56.47,87,0.00,0.00,0,57,43.30,785,0.00,0.00,3.9,0,0.00,0
7.130,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,782,0.00,0.00,3.9,0,0.00,0
7.220,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.30,784,0.00,0.00,3.9,0,0.00,0
7.285,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.30,778,0.00,0.00,4.3,0,0.00,0
7.365,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.44,778,0.00,0.00,4.3,0,0.00,0
7.441,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,780,0.00,0.00,4.3,0,0.00,0
7.504,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.30,775,0.00,0.00,3.9,0,0.00,0
7.592,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.30,774,0.00,0.00,3.9,0,0.00,0
7.659,0.0,99.97,-56.47,87,0.00,0.00,0,57,43.30,767,0.00,0.00,3.9,0,0.00,0
7.738,0.0,99.97,-56.47,87,0.00,0.00,0,57,43.30,760,0.00,0.00,3.9,0,0.00,0
7.815,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.44,761,0.00,0.00,3.9,0,0.00,0
7.880,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.71,765,0.00,0.00,3.9,0,0.00,0
7.972,0.0,99.97,-56.19,87,0.00,0.00,0,57,43.57,764,0.00,0.00,3.9,0,0.00,0
8.029,0.0,99.97,-56.26,87,0.00,0.00,0,57,43.57,764,0.00,0.00,3.9,0,0.00,0
